Column1,Column2,Column3,Column4
37,90,13,55
97,17,23,6
51,33,89,92
44,9,99,81
24,43,30,69
79,48,17,95
59,39,62,5
32,93,84,3
96,42,89,53
88,26,86,23
52,99,13,53
62,50,59,37
58,25,19,74
52,24,49,74
12,13,12,83
39,60,61,17
2,7,19,85
3,57,76,78
56,36,9,73
81,45,71,1
59,20,28,51
2,65,78,45
2,8,95,77
92,16,52,4
54,14,83,62
87,76,16,65
96,87,69,32
97,15,99,34
1,92,12,92
19,98,25,95
2,66,52,72
53,32,85,39
44,87,53,26
90,63,23,34
32,86,16,54
70,51,57,3
32,25,39,50
68,58,53,12
55,63,42,65
75,62,58,54
56,22,39,5
17,58,14,94
38,58,95,94
24,86,5,57
69,49,35,17
98,52,87,47
70,42,93,23
86,70,75,79
11,15,18,85
16,54,76,14
97,60,9,66
73,97,74,75
59,8,58,51
70,53,17,38
80,60,7,64
93,5,46,98
3,68,13,38
20,6,40,50
59,96,42,98
36,94,9,82
19,47,50,30
90,99,27,79
67,55,66,91
19,40,5,51
20,52,29,63
96,16,37,98
71,13,38,52
52,30,83,38
33,19,8,97
40,17,65,88
39,63,86,79
82,19,17,30
1,92,71,51
11,58,89,81
92,55,45,5
57,90,4,29
89,90,36,4
50,62,70,10
23,23,31,56
31,9,19,17
94,12,61,74
42,1,54,17
99,58,39,84
7,1,91,88
16,34,74,69
90,96,90,34
60,48,19,6
2,89,39,53
1,1,67,66
48,16,45,77
12,61,13,43
69,64,92,75
37,63,58,23
32,69,20,55
9,22,92,80
99,93,72,95
19,67,61,75
48,76,39,16
80,26,1,8
3,16,3,4
20,51,77,4
24,86,92,56
54,57,62,25
33,29,63,67
24,78,25,96
75,92,56,67
72,69,33,27
36,47,38,93
38,94,6,32
84,62,58,50
99,69,44,61
89,76,45,51
99,16,32,19
25,90,45,21
93,90,61,5
18,48,47,82
82,85,21,92
66,39,80,42
54,33,85,61
35,94,75,22
80,23,36,21
61,10,99,70
41,69,19,1
33,34,20,5
68,52,57,12
33,95,18,90
14,10,47,46
21,19,49,34
48,58,14,49
20,96,15,78
8,1,31,90
7,69,1,45
67,4,54,27
17,16,3,73
33,24,16,26
48,80,87,47
76,2,57,86
59,92,75,56
86,32,12,94
22,91,74,63
30,84,96,48
38,24,16,61
51,12,72,81
54,50,76,26
8,35,24,36
27,33,28,1
27,33,8,8
98,61,92,99
21,51,36,52
30,43,90,79
97,12,8,47
28,67,58,56
64,65,60,86
97,33,50,14
69,40,28,90
61,74,92,28
48,43,41,87
19,44,64,78
4,29,27,88
35,13,63,2
64,12,17,26
49,95,73,14
17,46,33,59
44,2,84,56
92,35,77,7
30,87,92,3
93,81,29,23
46,90,13,18
6,8,46,38
99,93,35,99
37,26,6,15
24,74,82,64
93,90,69,89
46,34,47,28
53,7,25,74
95,68,66,39
99,58,10,57
60,75,56,17
97,29,30,86
63,36,5,90
85,89,33,44
32,21,65,25
87,36,18,17
33,10,96,13
67,73,49,84
18,24,11,25
25,64,85,68
95,99,26,10
54,49,63,67
58,99,89,18
67,36,86,86
46,82,59,34
24,96,27,8
32,24,49,40
47,23,77,83
86,62,33,42
23,96,98,41
66,37,99,6
27,12,1,52
2,55,21,26
